State,Agency type,Agency name,Race,Religion,Sexual orientation,Ethnicity,Disability,Gender,Gender Identity,1st quarter,2nd quarter,3rd quarter,4th quarter,Population
Texas,Cities,Austin,0,0,1,3,0,0,0,2,1,1,0,"859,180"
Ohio,Cities,Austintown,2,0,0,0,0,0,0,0,1,1,0,"36,192"
Arizona,Cities,Avondale,4,0,0,1,0,0,0,1,1,3,0,"78,905"
California,Cities,Azusa,1,0,0,0,0,0,0,0,0,1,0,"47,754"
California,Cities,Bakersfield,2,1,0,0,0,0,0,0,0,2,1,"361,859"
California,Cities,Baldwin Park,0,0,1,0,0,0,0,0,0,1,0,"76,745"
Indiana,Universities and Colleges,Ball State University,0,1,0,0,0,0,0,0,1,0,0,"21,053"
Maryland,Cities,Baltimore,0,1,0,1,0,0,0,1,0,0,1,"622,671"
Maryland,Metropolitan Counties,Baltimore County Police Department,3,2,0,0,0,0,0,1,0,2,2,
Michigan,Cities,Bangor,0,0,0,0,0,1,0,0,0,0,1,"1,857"
California,Cities,Banning,0,0,0,1,0,0,0,0,0,1,0,"30,503"
Ohio,Cities,Barberton,3,0,1,0,0,0,0,0,2,1,1,"26,245"
West_Virginia,Cities,Barboursville,2,0,0,0,0,0,0,0,1,0,1,"4,099"
Illinois,Cities,Bartlett,0,1,0,1,0,0,0,0,0,1,1,"41,733"
New_York,Cities,Batavia,1,0,0,0,0,0,0,0,0,1,0,"15,374"
Michigan,Cities,Bath Township,1,0,0,0,0,0,0,0,0,1,0,"11,761"
Ohio,Cities,"Bath Township, Summit County",0,0,1,0,0,0,0,0,0,1,0,"9,724"
Michigan,Cities,Battle Creek,0,1,0,0,0,0,0,0,0,1,0,"61,032"
Texas,Cities,Beaumont,3,0,0,0,0,0,0,2,1,0,0,"118,177"
Oregon,Cities,Beaverton,0,0,1,0,0,0,0,,,1,,"93,551"
West_Virginia,Cities,Beckley,3,0,1,0,0,0,0,0,3,1,0,"17,593"
Massachusetts,Cities,Bedford,1,2,0,0,0,0,0,1,0,0,2,"13,947"
New_Hampshire,Cities,Bedford,1,0,0,0,0,0,0,0,1,0,0,"21,645"
Virginia,Cities,Bedford,1,0,1,0,0,0,0,0,0,0,2,"5,894"
New_Jersey,Cities,Bedminster Township,1,1,0,0,0,0,0,0,2,0,0,"8,213"
Maryland,Cities,Bel Air,1,0,0,0,0,0,0,1,0,0,0,"10,314"
New_Mexico,Cities,Belen,0,0,0,1,0,0,0,,,,1,"7,247"
Maine,Cities,Belfast,0,0,1,0,0,0,0,1,0,0,0,"6,654"
Texas,Cities,Bellaire,0,0,1,0,0,0,0,0,0,1,0,"17,617"
Ohio,Cities,Bellefontaine,1,0,0,1,0,0,0,0,1,1,0,"13,147"
Kansas,Cities,Belleville,1,0,0,0,0,0,0,1,0,0,0,"1,928"
New_Jersey,Cities,Belleville,0,0,2,0,0,0,0,0,0,1,1,"36,229"
Kentucky,Cities,Bellevue,0,0,1,0,0,0,0,1,0,0,0,"5,918"
Washington,Cities,Bellevue,0,1,0,0,0,0,0,1,0,0,0,"127,678"
Washington,Cities,Bellingham,4,0,4,2,0,0,0,2,5,3,0,"82,645"
Texas,Cities,Bellmead,2,0,0,0,0,0,0,0,1,0,1,"9,950"
Massachusetts,Cities,Belmont,0,0,0,1,0,0,0,0,1,0,0,"25,421"
South_Carolina,Cities,Belton,0,0,1,0,0,0,0,1,0,0,0,"4,222"
Minnesota,Cities,Bemidji,0,0,1,0,0,0,0,0,1,0,0,"13,805"
Texas,Cities,Benbrook,1,0,0,0,0,0,0,0,0,0,1,"22,157"
Oregon,Cities,Bend,0,2,0,1,0,0,0,2,0,1,0,"79,926"
Vermont,Cities,Bennington,1,0,0,0,0,0,0,0,0,0,1,"15,492"
Washington,Metropolitan Counties,Benton,0,0,0,0,1,0,0,1,0,0,0,
Michigan,Cities,Benton Harbor,3,0,0,0,0,0,0,1,0,2,0,"10,039"
Michigan,Cities,Benton Township,2,0,0,0,0,0,0,0,0,1,1,"14,578"
Arkansas,Cities,Bentonville,1,0,0,0,0,0,0,0,0,1,0,"39,132"
Kentucky,Cities,Berea,0,1,1,0,0,0,0,0,1,0,1,"14,331"
California,Cities,Berkeley,7,1,4,1,0,0,0,6,2,4,1,"116,217"
South_Carolina,Metropolitan Counties,Berkeley,2,0,0,0,0,0,0,2,0,0,0,
Arkansas,Cities,Berryville,1,0,0,0,0,0,0,0,0,1,0,"5,417"
Illinois,Cities,Berwyn,1,0,0,0,0,0,0,0,1,0,0,"56,838"
Connecticut,Cities,Bethel,1,0,0,0,0,0,0,1,0,0,0,"19,338"
North_Dakota,Cities,Beulah,0,0,0,1,0,0,0,1,0,0,0,"3,149"
Massachusetts,Cities,Beverly,0,1,0,0,0,0,0,0,0,1,0,"40,592"
California,Cities,Beverly Hills,0,1,0,0,0,0,0,1,0,0,0,"34,780"
Massachusetts,Cities,Billerica,0,1,0,0,0,0,0,0,0,0,1,"41,926"
Montana,Cities,Billings,5,1,1,0,0,0,0,1,2,1,3,"107,802"
Mississippi,Cities,Biloxi,1,0,0,0,0,0,0,1,0,0,0,"44,744"
Michigan,Cities,Birmingham,1,1,0,0,0,0,0,1,0,1,0,"20,544"
North_Dakota,Cities,Bismarck,0,0,1,5,0,0,0,3,0,2,1,"65,850"
Oklahoma,Cities,Bixby,1,0,0,0,0,0,0,0,1,0,0,"23,122"
Michigan,Cities,Blackman Township,3,0,0,0,0,0,0,0,1,0,2,"38,115"
Minnesota,Cities,Blaine,4,0,0,0,0,0,0,1,2,1,0,"60,093"
Oklahoma,Cities,Blanchard,1,0,0,0,0,0,0,1,0,0,0,"8,016"
Tennessee,Nonmetropolitan Counties,Bledsoe,0,0,0,1,0,0,0,0,0,1,0,
Michigan,Cities,Bloomfield Township,1,1,0,0,0,0,0,0,1,1,0,"41,791"
Indiana,Cities,Bloomington,8,0,2,0,0,0,0,1,5,3,1,"82,415"
Ohio,Cities,Blue Ash,0,0,1,0,0,0,0,0,0,1,0,"12,105"
Ohio,Cities,Boardman,1,0,0,0,0,0,0,0,1,0,0,"40,277"
Idaho,Cities,Boise,8,1,4,0,0,0,0,2,0,7,4,"214,330"
Massachusetts,Cities,Bolton,0,0,1,0,0,0,0,0,0,1,0,"5,060"
Kentucky,Metropolitan Counties,Boone,3,0,0,1,0,0,0,1,2,0,1,
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799"
Massachusetts,Universities and Colleges,Boston College,0,0,1,0,0,0,0,1,0,0,0,"14,605"
Massachusetts,Universities and Colleges,Boston University,0,0,0,1,0,0,0,0,0,1,0,"32,603"
Utah,Cities,Bountiful,4,0,0,1,0,0,0,0,1,2,2,"42,976"
Kentucky,Cities,Bowling Green,4,0,2,2,0,0,0,1,2,4,1,"61,130"
Ohio,Universities and Colleges,Bowling Green State University,1,0,0,0,0,0,0,1,0,0,0,"17,286"
Massachusetts,Cities,Braintree,3,0,0,0,0,0,0,0,2,1,0,"36,496"
