"","state","votes","party"
"110","OREGON",754175,"REPUBLICAN"
"111","OREGON",24089,"LIBERTARIAN"
"112","PENNSYLVANIA",2990274,"DEMOCRAT"
"113","PENNSYLVANIA",2680434,"REPUBLICAN"
"114","PENNSYLVANIA",49991,"LIBERTARIAN"
"115","RHODE ISLAND",279677,"DEMOCRAT"
"116","RHODE ISLAND",157204,"REPUBLICAN"
"117","RHODE ISLAND",4388,"LIBERTARIAN"
"118","SOUTH CAROLINA",1071645,"REPUBLICAN"
"119","SOUTH CAROLINA",865941,"DEMOCRAT"
"120","SOUTH CAROLINA",16321,"LIBERTARIAN"
"121","SOUTH DAKOTA",210610,"REPUBLICAN"
"122","SOUTH DAKOTA",145039,"DEMOCRAT"
"123","SOUTH DAKOTA",5795,"LIBERTARIAN"
"124","TENNESSEE",1462330,"REPUBLICAN"
"125","TENNESSEE",960709,"DEMOCRAT"
"126","TEXAS",4569843,"REPUBLICAN"
"127","TEXAS",3308124,"DEMOCRAT"
"128","TEXAS",88580,"LIBERTARIAN"
"129","UTAH",740600,"REPUBLICAN"
"130","UTAH",251813,"DEMOCRAT"
"131","UTAH",12572,"LIBERTARIAN"
"132","VERMONT",199239,"DEMOCRAT"
"133","VERMONT",92698,"REPUBLICAN"
"134","VERMONT",3487,"LIBERTARIAN"
"135","VIRGINIA",1971820,"DEMOCRAT"
"136","VIRGINIA",1822522,"REPUBLICAN"
"137","VIRGINIA",31216,"LIBERTARIAN"
"138","WASHINGTON",1755396,"DEMOCRAT"
"139","WASHINGTON",1290670,"REPUBLICAN"
"140","WASHINGTON",42202,"LIBERTARIAN"
"141","WEST VIRGINIA",417655,"REPUBLICAN"
"142","WEST VIRGINIA",238269,"DEMOCRAT"
"143","WEST VIRGINIA",6302,"LIBERTARIAN"
"144","WISCONSIN",1620985,"DEMOCRAT"
"145","WISCONSIN",1410966,"REPUBLICAN"
"146","WYOMING",170962,"REPUBLICAN"
"147","WYOMING",69286,"DEMOCRAT"
"148","WYOMING",5326,"LIBERTARIAN"
